star_name,distance_ly,ra_hms,dec_deg,RA_Motion,Dec_Motion,Rad_v(km/s),mass
Sol,0.0,00:00:00.0,0.0,0.0,0.0,0.0,1
Proxima Centauri,4.2465,14:29:43.0,-62.679444,-3781.741,769.465,-22.215,0.1221
Alpha Centauri,4.3441,14:39:36.5,-60.833889,-3679.25,473.67,-21.7,1.0788
Barnard's Star,5.9629,17:57:48.5,4.693333,-801.551,10362.394,-110.35,0.162
Wolf 359,7.8558,10:56:29.2,7.014722,-3866.338,-2699.215,19.5,0.090
Sirius,8.7094,06:45:08.9,16.716111,-546.01,-1223.07,-5.5,2.063
Ross 154,9.7063,18:49:49.4,-23.836111,639.368,-193.958,-11.35,0.17
Epsilon Eridani,10.4749,03:32:55.8,-9.458333,-975.17,19.49,16.376,0.820
61 Cygni A,11.4039,21:06:53.9,38.741944,4105.976,3155.942,-64.59,-65.97,0.70
Procyon,11.463,07:39:18.1,5.225,-714.590,-1036.80,-3.2,1.499
Epsilon Indi,11.867,22:03:21.7,-56.786111,3966.661,-2536.192,-40.43,0.754
Tau Ceti,11.9118,01:44:04.1,-15.9375,-1721.728,854.963,-16.68,0.783
Kapteyn's Star,12.8308,05:11:40.6,-45.018333,6491.223,-5708.614,245.05,0.281
70 Ophiuchi,16.7074,18:05:27.4,2.499722,206.525,-1107.492,-5.73,0.834
Altair,16.73,19:50:47.0,8.868333,536.23,385.29,-26.1,1.79
Sigma Draconis,18.7993,19:32:21.6,69.661111,597.384,-1738.286,26.55,0.85
Ross 47,18.8883,05:42:09.3,5.805833,1997.342,-1569.63,106.06,0.35
Eta Cassiopeiae,19.3314,00:49:06.3,57.815278,1086.59,-559.43,10.0,0.972
YZ Canis Minoris,19.533,07:44:40.2,3.5525,-347.782,-445.702,26.53,0.308
82 G. Eridani,19.7045,03:19:55.7,-43.069722,3035.017,726.964,87.76,0.70
Delta Pavonis,19.893,20:08:43.6,-66.181944,1211.761,1130.237,-23.52,1.051
